subid,risk,gender,age,wvcat,active
15,67,0,36,2,GOLD
15,75,0,36,2,MED20
15,80,0,36,2,MED80
15,2,0,36,2,SILV
15,70,0,36,2,STK20
15,60,0,36,2,STK80
17,50,0,27,0,GOLD
17,50,0,27,0,MED20
17,10,0,27,0,MED80
17,0,0,27,0,SILV
17,50,0,27,0,STK20
17,40,0,27,0,STK80
19,40,1,40,0,GOLD
19,20,1,40,0,MED20
19,40,1,40,0,MED80
19,10,1,40,0,SILV
19,0,1,40,0,STK20
19,10,1,40,0,STK80
20,50,0,83,0,GOLD
20,20,0,83,0,MED20
20,50,0,83,0,MED80
20,50,0,83,0,SILV
20,20,0,83,0,STK20
20,NA,0,83,0,STK80
23,75,1,46,0,GOLD
23,75,1,46,0,MED20
23,85,1,46,0,MED80
23,60,1,46,0,SILV
23,75,1,46,0,STK20
23,75,1,46,0,STK80
27,80,0,47,3,GOLD
27,80,0,47,3,MED20
27,90,0,47,3,MED80
27,0,0,47,3,SILV
27,10,0,47,3,STK20
